음식점_이름,매출_비율,키워드
거로집,하위_10,"회, 조림, 신선한 재료, 맛집, 친절"
거마가든,상위_75_90,"삼계탕, 김치찌개, 친절한 사장님, 제주도 맛집, 오리주물럭"
거멍국수 제주산방산점,상위_10_25,"고기국수, 성게국수, 돔베고기"
거문덕이식당,상위_75_90,"치킨, 친절, 맛집, 청국장, 양, 소스, 반찬, 바삭바삭, 푸짐, 불친절"
거부갈비,상위_10,"친절한 직원, 돔베갈비, 고급스러운 분위기"
거제아구찜,상위_75_90,"친절, 해산물 신선, 아구찜"
건호네식당,상위_25_50,"된장아삭이고추무침, 해물탕, 해물전골, 직원 친절, 관광객, 싱싱한 해산물, 가격, 의사소통, 냄새, 대응 부족"
전이수갤러리 걸어가는늑대들,상위_25_50,"전이수, 힐링, 전시회, 감상, 따뜻한 위로"
검은노루,상위_50_75,"고기국수, 도삭면, 인테리어, 수육, 국물, 친절, 비빔국수, 양, 제주도, 맛집"
검은쇠몰고오는 제주공항본점,상위_10,"흑우, 제주도, 맛집"
검은여닭도가니,상위_75_90,"김치찌개, 해물파전, 뷰맛집"
게우지코지 카페,상위_25_50,"뷰, 맛집, 커피, 음료, 아늑함, 친절, 바다, 베이커리, 돌고래, 감성"
경미네집,상위_75_90,"성게밥, 해물라면, 전복죽"
경미해장국,상위_50_75,"깨끗한 매장, 친절한 사장님, 맛있는 해장국"
경복정,상위_75_90,"맛있어요, 전복 돌솥밥, 친절"
경성살롱 서귀포점,상위_75_90,"카페, 분위기, 디저트, 경성살롱, 제주, 시간여행, 친절, 레트로, 사진, 고가구"
경성숯불양꼬치,상위_75_90,"양꼬치, 가성비, 친절, 포장, 중국음식"
경애관,상위_25_50,"방어회, 스키다시, 친절한 서비스"
경양식탁,하위_10,"돈까스, 떡볶이, 친절한 서비스"
경양카츠 제주점,하위_10,"돈까스, 부드러움, 친절함"
경인식당,상위_50_75,"고등어회, 친절한 직원, 숨은 맛집"
경일식당,상위_10_25,"낙지볶음, 반찬, 가성비"
경춘선 숯불닭갈비,하위_10,"닭갈비, 친절한 직원, 소금구이"
곁애,상위_25_50,"이자카야, 야키토리, 애견동반"
계절식탁시청점,상위_75_90,"회, 꽃게탕, 친절, 재방문, 신선한 재료, 가성비, 안주, 분위기, 돈까스, 사시미"
고가치,상위_75_90,"고기, 분위기, 친절, 제주도, 추천"
고객식당,상위_10_25,"갈치조림, 고등어구이, 성게미역국"
고고다찌 바다장어,하위_10,"도다리, 장어구이, 반찬, 친절, 제철"
고군족발,상위_50_75,"족발, 보쌈, 막국수, 가성비, 친절, 분위기, 육질, 포장, 다이어트, 맛집"
고기장,상위_10,"고기, 분위기, 서비스, 특제소스, 친절, 재방문"
고니식당,상위_25_50,"동태탕, 내장탕, 가성비, 계란후라이, 반찬"
고도500,하위_10,"카페, 커피, 고즈넉함, 크로플, 카이막, 디저트, 분위기, 친절, 힐링, 맛집"
고돔,상위_25_50,"고등어회, 신선한 해산물, 친절한 사장님"
고랑몰라,상위_75_90,"양념, 고기, 친절, 맛집, 재방문, 푸짐한, 서비스, 제주도민"
고래냉삼,상위_25_50,"고기, 친절, 셀프바"
고래맥주,상위_50_75,"고래맥주, 친절한 사장님, 가성비 좋은 안주"
고래콩물,상위_50_75,"가성비, 순두부, 고래콩물"
고래콩물 이도점,상위_50_75,"두부, 콩국수, 순두부"
고마로갈비탕,상위_75_90,"왕갈비탕, 나주곰탕, 사장님 친절"
고모네돔베,상위_50_75,"돔베고기, 고기국수, 친절한 서비스"
고미횟집,상위_25_50,"신선한 회, 스끼다시, 불친절한 서비스"
고바진,상위_75_90,"고바진, 열무국수, 흑돼지"
고보배국밥,상위_25_50,"곱창전골, 야채, 서비스"
고봉민김밥인 제주강정점,상위_75_90,"돈가스, 김밥, 친절함"
고사리식당,상위_25_50,"고등어구이, 갈치조림, 반찬 푸짐"
고서방해물탕,상위_25_50,"해물탕, 전복, 친절한 서비스"
고성장터국밥,상위_75_90,"국밥, 가성비, 맛집, 제주, 성산, 몸국, 푸짐한, 친절, 아침식사, 정겨운"
고수목마축산유통,상위_10_25,"말고기, 코스요리, 가성비"
고씨네막창,상위_25_50,"막창, 곱창, 친절"
고씨네천지국수 올레시장본점,상위_10_25,"멸고국수, 멸치육수, 수육"
고씨회관,상위_50_75,"탕수육, 우동, 가성비"
고요남 제주,상위_75_90,"찐 맛집, 가성비, 친절한 서비스, 육회, 냉소바, 떡갈비, 곱창전골, 기본찬, 맛있음, 단골집"
고은물식당 제주화순점,상위_75_90,"신선한 재료, 가정식 백반, 친절한 서비스"
고을면,하위_10,"꿩 요리, 친절한 사장님, 제주도 맛집"
고이정 애월흑돼지 보리짚불구이,상위_50_75,"고기, 김치찌개, 반찬, 제주도, 친절, 맛집, 육즙, 예약, 인테리어, 가족"
고전떡볶이 한라대점,하위_10,"떡볶이, 튀김, 순대"
고전떡볶이,하위_10,"전골떡볶이, 튀김, 볶음밥"
고죽면칼국수 제주외도점,상위_50_75,"칼국수, 감자채전, 사장님 친절, 양 많음, 반찬 알차, 매장 청결, 수제비, 국물 맛, 주차 편리, 집밥 느낌"
고집돌우럭 제주공항점,상위_10,"우럭, 조림, 맛집, 간, 쌈채소, 제주도, 반찬, 양념, 서비스, 가족식사"
고집돌우럭 중문점,상위_10,"우럭조림, 건강식, 가족식사"
고찌올레,상위_50_75,"보말죽, 보말칼국수, 해물라면, 반찬, 제주도 맛집"
고창댁풍천장어&갈비,상위_25_50,"장어, 갈비, 아이동반"
고촌,상위_75_90,"갈매기살, 고기부드럽고, 친절, 술싸다, 양념"
고평갯드르가든,상위_75_90,"미리 만들어 놓은 요리, 반찬, 배 아픔"
고할망네,상위_25_50,"우럭조림, 쥐치조림, 친절한 서비스, 제주 현지인 맛집, 감칠맛"
고향모밀촌,상위_50_75,"메밀소바, 만두, 국물맛"
고향숯불막창 삼화점,상위_25_50,"막창, 친절, 반찬"
곤밥2,상위_10_25,"굿, 좋아요, 만족"
곤밥보리밥,상위_75_90,"정갈한, 보리밥정식, 수육"
골막식당,상위_10,"고기국수, 현지인맛집, 두툼한 면발"
골목카페옥수,상위_75_90,"골목카페옥수, 제주스러운 분위기, 귀여운 강아지 모모"
곰돌식당,상위_75_90,"반찬, 가성비, 집밥"
곰막다방,상위_10,"곰막식당, 커피, 가성비"
곰보숯불갈비,상위_25_50,"양념갈비, 냉면, 가성비, 제주맛집, 친절한서비스"
곰집해장국,상위_50_75,"콩국수, 곰탕, 해장국"
곰탕제작소,하위_10,"치즈돈까스, 맛있어요, 가성비"
곱단이네식당,상위_50_75,"맛집, 두루치기, 반찬, 가성비, 제주도"
곱들락탁희,상위_10,"고기, 친절, 청결, 흑돼지, 된장찌개, 쫄면, 제주맛집, 양념갈비, 서비스, 분위기"
곱들락흑돼지 제주공항점,상위_25_50,"고기, 흑돼지, 바다뷰, 친절, 소스"
공가네 구이촌,상위_75_90,"사장님, 고기, 된장찌개"
공간뉴제주펍,상위_75_90,"데낄라, 분위기, 술집"
공간키친 제주시청,상위_50_75,"소고기 스키야끼, 부추전, 분위기 좋은 술집"
공단해장국,상위_10_25,"내장탕, 해장국, 진국, 잡내, 건더기, 친절, 제주도, 맛집"
공단해장국 아라점,상위_25_50,"해장국, 내장탕, 도민맛집"
공룡마라탕 외도5호점,상위_50_75,"마라탕, 꿔바로우, 친절함, 신선한 재료, 매운맛"
공룡마라탕&꼬치 중문8호점,상위_50_75,"양꼬치, 무한리필, 가성비, 마라탕, 꿔바로우, 신선한 고기, 친절한 서비스"
공명식당,상위_75_90,"가게 리뷰 가성비, 한식뷔페, 맛집, 음식, 혼밥, 반찬, 사장님, 퀄리티"
공새미59,하위_10,"예쁜 가게, 신선한 재료, 맛있는 한식"
공작흑돼지 함덕본점,상위_50_75,"숙성육, 식용꽃, 고기 질, 가성비, 친절한 서비스"
공천포식당,상위_10_25,"물회, 전복, 친절"
공푸마라탕,상위_50_75,"친절, 마라탕, 가격"
공항1등 이자카야 도,상위_50_75,"한치, 사시미, 친절"
곶자왈밥상,하위_10,"맛집, 한식뷔페, 가성비"
곶자왈화덕피자,상위_75_90,"피자, 화덕, 가성비"
과수원집,상위_50_75,"오리고기, 가성비, 친절한 서비스"
곽돈,상위_50_75,"곽돈, 흑돼지, 친절한 서비스"
곽지가,상위_75_90,"흑돼지, 친절, 반찬"
곽지곤지암해장국,상위_75_90,"소머리해장국, 가성비, 해장국"
곽지식당,하위_10,"곽지해수욕장, 흑돼지, 후라이드치킨, 바다뷰, 친절한 서비스, 해물뚝배기, 막걸리, 김치전골, 양념, 청결"
곽지해녀의집,상위_75_90,"해산물, 바다뷰, 친절한 서비스"
관덕정들깨칼국수,상위_75_90,"콩국수, 생선까스, 들깨칼국수"
관심사,하위_10,"카페, 케이크, 고양이"
관촌밀면,상위_50_75,"밀면, 수육, 시원, 고명, 맛집"
구 광동식당 돈볶,하위_10,"친절한 사장님, 두루치기, 현지인 맛집"
광령힐식당,상위_50_75,"우거지탕, 친절한 사장님, 현지인 맛집"
광안국밥 구제주점,상위_75_90,"순대국밥, 혼밥, 다대기, 국물, 포장"
광장 가든,상위_75_90,"위생불량, 가격저렴, 가성비좋음"
광평도새기촌 본점,상위_25_50,"흑돼지, 친절, 간장게장"
괸당집 노형점,상위_25_50,"맛, 친절, 볶음밥"
괸당집 서귀포신시가지점,상위_25_50,"냉삼, 껍데기, 친절한 서비스, 인테리어, 반찬, 고기 맛"
괸당집 중문점,상위_25_50,"냉삼, 볶음밥, 친절, 신선한 재료, 기본찬"
괸당집 표선점,상위_75_90,"냉동삼겹살, 볶음밥, 친절한 직원"
괸당집 함덕점,상위_50_75,"맛집, 친절, 냉삼, 웨이팅, 고기, 볶음밥, 가성비, 제주, 미나리, 떡볶이"
괸당포차,상위_50_75,"안주, 분위기, 강아지, 맛집, 추천, 서귀포, 칠리탕수육, 한라산 짬뽕탕"
교동짬뽕 제주본점,상위_50_75,"깔끔함, 매운맛, 가성비"
교래향 교래본점,상위_25_50,"갈치조림, 흑돼지, 친절한 서비스"
606가든식당,상위_10_25,"돈까스, 제주몸국, 재방문의사"
교래흑돼지 표선점,상위_25_50,"고기, 친절, 육즙, 맛집, 제주"
교촌치킨 대정점,상위_50_75,"허니콤보, 친절, 맛있어요"
교촌치킨 삼양화북점,하위_10,"허니순살, 단짠단짠, 교촌치킨, 포장, 맛있어요"
교촌치킨 서귀포명동점,상위_50_75,"치킨, 허니콤보, 포장, 맛, 청결, 분위기, 친절, 매운, 식감, 주차"
교촌치킨 서귀포혁신도시점,상위_50_75,"치킨, 레드콤보, 맛있음, 홀영업, 중독성"
교촌치킨 성산일출봉점,상위_75_90,"허니콤보, 싱겁다, 매장 분위기"
교촌치킨 아라점,상위_25_50,"맛있음, 청결, 포장"
교촌치킨 외도하귀점,상위_75_90,"기프티콘, 양념, 배달"
교촌치킨 애월해안도로점,상위_50_75,"허니콤보, 친절한 사장님, 제주도 여행"
교촌치킨 용담삼도점,상위_75_90,"직원 친절, 매장 깔끔, 맛있어요, 비싸요, 허니순살"
교촌치킨 한림협재점,상위_75_90,"교촌, 치킨, 친절, 아늑함, 맛있음"
교촌치킨도두해안도로점,상위_75_90,"교촌, 맛있어요, 친절함, 포장주문, 레드점보윙"
교촌서귀포1호점,상위_75_90,"치킨, 허니콤보, 교촌, 맛있어요, 포장, 양념, 소스, 야식"
교촌치킨 영어교육도시점,상위_50_75,"교촌, 쿠폰, 포장, 테이크아웃, 친절"
구공족발,하위_10,"족발, 맛, 가격"
구구토종닭,상위_25_50,"토종닭, 샤브샤브, 백숙, 맛있어요, 친절, 신선한 재료, 건강식, 정갈한 반찬, 배부름, 추천"
구두미 바당,상위_75_90,"친절, 맛, 굿"
구락,상위_25_50,"어향가지새우, 삼선짬뽕, 깔끔한 매장, 재방문, 친절한 서비스"
구럼비나무 피자&파스타,상위_25_50,"맛있음, 친절, 깔조네"
구르메스시 오마카세,상위_25_50,"맛있음, 친절, 신선도, 분위기, 추천, 오마카세, 제주도, 해산물, 특별한 경험, 감동"
구산식당,상위_25_50,"콩국수, 정식, 가성비, 친절, 위생"
구어라조연탄,상위_10_25,"근고기, 가성비, 친절한 서비스"
구억불사나이,상위_50_75,"짬뽕, 등갈비, 해물"
구엄애초밥,상위_25_50,"초밥, 회덮밥, 가성비, 신선함, 친절"
구이사이,상위_50_75,"고등어구이, 가성비, 제주맛집"
세화 구좌모메존흑돼지,상위_50_75,"고기, 친절, 반찬, 제주도, 맛집, 신선한 재료, 가성비, 청국장"
국군복지단 서귀포호텔식당,상위_25_50,"조식, 가성비, 흑돼지"
국빈대반점,상위_10_25,"맛, 친절, 청결, 빠른 서비스, 넓은 공간, 재료, 볶음밥, 짬뽕, 탕수육, 숨은 맛집"
국수도둑,하위_10,"국수, 친절, 맛집"
국수마씸&고사리마씸,상위_75_90,"고기국수, 해장국, 직원 친절도"
국수먹고가게,상위_50_75,"고기국수, 친절한 사장님, 현지인 맛집"
국수몰고랑,하위_10,"돼지국밥, 순대국밥, 현지인 맛집"
국수몽,상위_75_90,"고기국수, 비빔국수, 친절한 사장님, 국물 깔끔, 양 많음, 가성비 좋음, 제주도 맛집, 석양 뷰, 보말죽, 세트메뉴"
국수사랑,상위_25_50,"고기국수, 제주도민 맛집, 콩국수"
국수와야식,하위_10,"양, 맛집, 비빔국수, 돔베고기, 파김치"
국수와의미팅,하위_10,"비빔국수, 고기국수, 로컬맛집"
국수장터,상위_25_50,"고기국수, 순대국수, 도민맛집"
국수&전,상위_50_75,"친절, 맛, 동네맛집, 고기국수, 전"
국수탐나,상위_50_75,"국수, 김치, 맛집"
국시트멍 제주고기국수,상위_10_25,"고기국수, 진한 육수, 친절한 서비스"
국제부두토산품스낵,상위_25_50,"비싸다, 건강식, 김밥"
군산소문난해물칼국수,상위_10_25,"칼국수, 아구찜, 신선한 해물"
군산야식,하위_10,"아구탕, 손맛, 해장능력"
군족본점,상위_75_90,"바베큐, 친절, 포장"
군족 서귀포점,상위_75_90,"바베큐 족발, 부대찌개, 막국수"
굼부리식당,하위_10,"고사리, 제육볶음, 가성비, 단체 관광객, 친절"
굽네치킨 제주 성산점,하위_10,"치킨, 친절, 뷰, 맛집, 포장"
굽네치킨 제주영어도시점,하위_10,"친절, 굽네치킨, 깔끔, 바삭, 쫄깃"
굽써,상위_25_50,"오겹살, 목살, 계란찜, 친절, 숙성고기, 바닷가 뷰"
궁중삼계탕,하위_10,"삼계탕, 제주 노포, 친절 서비스"
궁중오메기떡,상위_25_50,"부드러운 떡, 친절한 서비스, 접근성 좋은 위치"
권가칼국수,상위_50_75,"닭곰탕, 칼국수, 해물파전, 친절, 국물, 제주, 맛집"
귀동이네,상위_75_90,"맛있고, 특별한, 김치"
규방,상위_75_90,"술집, 닭도리탕, 친절한 사장님"
규영이네가든,상위_50_75,"맛집, 친절, 가성비"
규태네양곱창 남녕점,상위_10_25,"곱창전골, 친절한 사장님, 매장 청결"
규태네양곱창 남녕점,상위_75_90,"곱창전골, 친절한 사장님, 매장 청결"
카페 귤꽃다락,상위_10_25,"감성카페, 귤라떼, 인테리어"
귤당리 협재점,상위_50_75,"귤당리, 오션뷰, 브런치"
귤로,상위_10,"치킨, 커피, 가성비, 친절, 바다뷰, 디저트, 청귤차"
귤밭사이로수제돈가스,상위_75_90,"돈까스, 리필, 가성비"
귤하르방 동문시장점,상위_75_90,"제주흙돼지, 슬러시, 친절, 위생, 동문시장"
귤하르방 구좌점,상위_75_90,"맛있음, 친절, 주스, 빵, 제주도"
소담은해장국그늘집,상위_50_75,"소고기해장국, 청결, 친절, 내장탕, 혼밥, 맛집"
GRAMINEE,하위_10,"뷰, 디저트, 커피, 친절, 바다"
그러므로part2,상위_25_50,"핸드 드립, 디저트, 분위기, 애견동반, 제주도, 커피, 친절, 야외 공간, 추천"
그럼피 베이비,상위_75_90,"팬케이크, 친절, 브런치, 비건, 사장님, 분위기, 맛집"
그륻,하위_10,"사장님, 음식, 분위기, 맛, 재방문"
그릉그릉 파스타가게,하위_10,"파스타, 티라미수, 고양이 소품"
그리그리카페,상위_75_90,"디저트, 분위기, 친절, 커피, 인테리어"
그리너 제주인화점,상위_75_90,"신선함, 쾌적함, 다양성"
그리매,상위_75_90,"갈치조림, 친절한 서비스, 맛있는 반찬"
그리운바다성산포민박,상위_50_75,"편안한 휴식 공간, 위생적이지 않음, 맛집 의문"
그리울땐제주,하위_10,"아몬드크림라떼, 당근케이크, 해안뷰, 커피맛집, 뷰맛집"
그리트커피,상위_75_90,"디저트, 커피, 친절"
그린보이즈 제주노형점,상위_75_90,"샐러드, 신선한 재료, 친절한 서비스"
그린사이공,상위_50_75,"쌀국수, 반미, 친절한 사장님"
그마니네식당,상위_75_90,"갈치조림, 친절한 서비스, 신선한 해산물"
그옛맛,상위_50_75,"전복돌솥밥, 성게미역국, 해물뚝배기, 친절한 서비스, 건강한 식사"
그집글라,상위_50_75,"고등어조림, 친절, 밑반찬"
